,Unnamed: 0,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
558,190668,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.52,6.945,12,4,6,9
559,190669,2021,2020-21,1610612747,Los Angeles Lakers,203076,Anthony Davis,F,PF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,-1.17,6.605,14,4,6,27
560,190670,2021,2020-21,1610612746,Los Angeles Clippers,202331,Paul George,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.12,8.025,25,4,6,40
561,190671,2021,2020-21,1610612746,Los Angeles Clippers,201976,Patrick Beverley,G,PG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.98,8.045,24,4,7,16
564,190674,2021,2020-21,1610612746,Los Angeles Clippers,1627826,Ivica Zubac,C,C,12-22-2020,22000000,LAL,LAC,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1699999999999999,6.035,3,4,7,48
569,190679,2021,2020-21,1610612746,Los Angeles Clippers,201976,Patrick Beverley,G,PG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.02,6.055,2,4,7,51
575,190685,2021,2020-21,1610612746,Los Angeles Clippers,1628379,Luke Kennard,G,SG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7899999999999998,7.635,25,4,8,15
577,190687,2021,2020-21,1610612746,Los Angeles Clippers,202331,Paul George,F,SF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,2.1100000000000003,7.045,24,4,8,20
579,190689,2021,2020-21,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,0.8099999999999999,8.245000000000001,25,4,8,35
580,190690,2021,2020-21,1610612746,Los Angeles Clippers,202331,Paul George,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,1.0699999999999998,7.985,24,4,8,48
